"brood_year","Individuals_Released","Age2Sp","Age3Sp","Age4Sp","Age5Sp","Age2Hat","Age3Hat","Age4Hat","Age5Hat","InRiver2","InRiver3","InRiver4","InRiver5","Apr2","May2","Jun2","Jul2","Aug2","Sept2","Oct2","Mar3","Apr3","May3","Jun3","Jul3","Aug3","Sept3","Oct3","Mar4","Apr4","May4","Jun4","Jul4","Aug4","Sept4","Oct4","Apr5","May5","Jun5","Jul5","Age6.5","Age6.4","Age6.3","Age6.2","Age6.1","Age5.12","Age5.11","Age5.10","Age5.9","Age5.8","Age5.7","Age5.6","Age5.5","Age5.4","Age4.3","Age4.2","Age4.1","Age4.12","Age4.11","Age4.10","Age4.9","Age4.8","Age4.7","Age4.6","Age4.5","Age4.4","Age3.3","Age3.2","Age3.1","Age3.12","Age3.11","Age3.10","Age3.9","Age3.8","Age3.7","Age3.6","Age3.5","Age2.4","Age2.3","Age2.2","Age2.1","Age2.12","Age2.11","Age2.10","Age2.9","Age2.8","Age2.7","Age2.6","Out_Survival","Mat4","Mat3","Mat2","Imp4","Imp3"
1998,314303,7.00511827768207,214.397178839231,1878.35436880719,0,23.5838558624937,612.104622042652,215.990865144871,1.02538641165351,0,276.660825280768,570.885998031602,0,0,18.2269407048453,45.4594271037623,66.1928878197016,85.4494058817679,51.7607663325681,31.0169217876574,24.7163368315609,468.80140882532,1089.20374942897,121.232545523394,0,0,273.690669991826,56.3094244793212,0,65.8042649857459,46.9784501867326,59.855726495447,77.2983795509238,0,3.32590618727766,0,3.95484352174731,0,0,0,1.04460718383609,5.01903176933909,5.11311304944895,5.20895787433675,5.30659930148406,5.40607100803184,5.50740730239593,5.61064313610017,9.04172030310913,9.21120650275991,86.6822492562619,148.162826389764,2913.10931650033,3033.51954259407,3090.3825821048,3148.31151396169,3207.32631821688,3267.4473494467,3328.69534377211,3447.40085049003,3785.71272631826,3856.67555655894,3928.96857840153,4123.84927168632,6414.19549540388,7003.23039762308,7159.2216318836,7293.42057037856,7430.13505539788,7569.41224062539,7711.3001636363,7886.86468425332,8086.46398989952,8323.49340537191,8545.70939695979,8751.35734576695,9322.12175997292,9876.17518802089,10463.1583727311,11085.028469892,11743.8589574023,12441.8465487894,13181.3185176284,13964.7404572819,14794.7245018348,15674.0380356339,16605.6129204724,17592.5552711859,0.0559732336986471,0.947336624974809,0.0494202395562977,0.000799820549382366,0.136769148920999,0.212835658563554
1999,292250,2.77777044994091,764.786743919472,966.284277603337,43.5200129180712,11.265823158778,233.919711705412,236.401047073662,12.2932942445015,0,379.565349651036,0,0,0,0,5.31928395921416,4.18345775793861,23.9008521981082,12.7638086688033,33.2449980807056,66.3676254509731,413.685735247389,125.307052487844,0,149.020894168263,15.8092379223181,324.044684195333,241.193575060326,19.7445717704824,56.0790484974466,190.922992152163,14.6705483953058,8.60939493029807,4.21059672657948,4.69200335330133,2.37133383960493,0,0,0,9.23846763579008,56.8595223742591,57.9253487920325,59.0111540261129,60.1173125775397,61.2442059673387,62.392222868112,63.5617592380929,67.1245522973197,73.0747990922171,78.6551760788789,88.738954912856,105.072906700986,1523.1950290083,1607.82622556377,1657.70934923968,1688.78295562315,1720.43903384591,1752.68850228801,1785.54248399349,2060.20588556715,2422.8689359956,2484.0946250409,2679.67964013495,2729.90998383757,4310.49632420085,4804.98190904613,4961.4184700375,5054.41979425173,5149.16441957185,5245.6850240137,5344.01489813947,5477.43295462051,5592.87073065383,5721.60942050886,5833.04391059908,5947.70305596316,6316.0786625404,6691.47013723954,7089.17272723757,7510.51247720899,7956.89424431507,8429.80638236579,8930.82570438159,9461.62274010128,10023.967305966,10619.734406151,11250.9104843215,11919.6000469557,0.0407856289031846,0.91965418058178,0.218842092318073,0.000466814452642363,0.365145740946762,0.115132313669295
2000,298074,309.374891634759,919.840417295185,156.842981450031,0,100.307096769408,176.694700943547,51.3558646219914,1.06991202714591,192.224354510549,0,0,0,0,110.173770581977,300.27477310917,187.123726453853,127.832480780884,134.687693418865,47.9458082952583,96.0746388312251,276.326978702659,99.2719251492341,100.242292132865,193.23116600311,0,168.739940729034,4.62710593631602,19.1535810298653,30.1099102839055,8.89832367902411,23.4624223724608,0,0,0,0,0,0,0,0,1.08996742781776,1.11039876509551,1.13121308587563,1.15241756914795,1.17401952847183,1.1960264144986,1.21844581754136,1.24128547019291,1.26455324999278,1.28825718214424,1.31240544228223,24.799428731754,246.264129306343,280.990237613106,305.410954311351,311.135854025418,316.968066448063,322.909603145948,328.962513392368,339.755990810366,514.864625743669,524.515714897789,727.578878816668,841.459568840962,2073.59414100059,2388.79044752967,2529.64273941157,2577.06065547226,2625.36741592529,2674.57968207548,2724.71442754225,2823.73475240921,3011.35308910877,3195.63310130734,3442.65867073598,3807.46575796653,4781.61364862122,5065.80532749361,5366.88772909589,5685.86474106992,6023.79991637877,6381.82001947109,6761.11878320913,7162.9608890869,7588.68618400986,8039.71414769558,8517.54862559125,9023.78284308851,0.0302736328666322,0.893563895472448,0.52225085138,0.0751486195281136,0.623918651869709,0.333433865317065
2001,604754,40.1022372186433,475.941835362685,119.523829422002,17.9799601723157,18.8312525065237,343.869436835554,33.0927237243098,1.01869462732667,0,0,0,0,0,40.6757778777025,53.9984016185678,0,52.7138715396879,120.324144272406,6.04184373913452,35.0896241185817,323.751759434089,112.215063582843,251.698958021892,92.6624691219313,36.1656159938023,0,0,3.44420655539143,1.8614827004533,3.50355164169791,4.46461798402725,6.41426694766063,0,0,0,0,0,0,0,19.3547828032216,19.7175863928501,20.0871907017625,20.4637232088045,20.8473137824007,21.2380947253471,21.6362008204432,22.0417693769797,22.4549402780966,22.8758560290308,29.7189287539267,34.7406252720537,194.372722809552,199.877703981578,207.06859936466,210.950080852343,214.904320346723,218.932681689815,223.036554288728,227.217353594873,231.476521592169,271.981143288188,369.741873449751,628.371608235575,1587.54399638013,1941.05411923454,2012.52862089379,2050.25328126914,2088.6850868675,2127.8372930598,2167.72340368766,2214.39901946006,2376.23186580873,2473.48798096179,2519.85328133841,2621.0860965436,2879.98035068072,3051.14985769755,3232.49269805864,3424.61351632444,3628.1528936587,3843.78948369393,4072.24227534053,4314.27299008426,4570.68862176529,4842.34412730723,5130.14527736755,5435.05167641439,0.00898721079383418,0.814575424516276,0.430984371440676,0.0150692969414716,0.619595600648473,0.268642342284691
2002,1443071,388.339500144335,6850.06139030604,2512.25696873891,15.2380678485611,676.468402156207,3497.4467441103,289.21886804721,1.02501885612318,0,0,0,0,364.560320960756,656.020312994908,793.840661826174,1494.37163737613,0,251.641781799634,0,3.37949088749727,580.509789390751,427.190074756664,469.891926786585,0,0,0,1.8834705473725,0,29.6584735051912,80.7612498597054,83.3265562500249,50.9098030775952,3.13194646888106,2.64443969121904,0,1.33455161311922,2.88888526674736,0,0,19.4568220074608,21.1560899255283,21.5526588483377,21.956661418437,22.3682369788478,22.7875274845637,23.2146775515116,23.6498345064299,26.7375881289023,30.3707281812917,81.8498277121629,166.710651311316,3104.58611548464,3192.43976474871,3252.28174892901,3313.2454654941,3375.3519412124,3438.62259699715,3503.07925529457,3570.62761815798,3637.55869820495,3705.74439507432,3775.20822644083,4315.86607760243,15365.4278620618,16233.9611566094,16541.6447278572,16851.7163079229,17167.6001506957,17489.4052064953,17817.2424679047,18151.2250080529,18743.1098014134,19094.4476379517,20946.7429066831,22133.2283010714,25232.814680377,27097.0687226738,28707.5630073883,30413.7758315376,32221.3961558826,34136.4510603693,36165.3258399929,38314.7852950449,40591.9962867305,43004.5516333621,45560.4954268059,48268.3498535925,0.0334483541375251,0.943834172151975,0.613478943866823,0.0172430047309305,0.134896475059828,0.160434500911237
2003,937411,40.8368890356553,1285.46133238896,703.210860760527,113.864196656771,21.3373165077774,378.262024172274,228.713975024402,11.3795773919853,0,0,158.810186894936,0,11.8597536705668,8.21583246215241,36.248938462027,118.766379578057,28.9269325229362,7.30014465885813,2.93502635811393,0,222.404383908912,177.093479029593,0,115.193912717471,153.200242993376,39.1637457330497,0,0,40.2757040280471,70.5142554558743,8.79645967688691,15.9615318947317,11.830913207786,5.16341537358669,0,0,0,0,0,127.591456854886,129.983146755182,132.419668658498,134.90186293653,137.430585713661,140.006709162247,142.63112180343,145.3047288136,153.19186771018,167.894348120357,187.003043834786,199.304858041583,1384.73581283306,1450.96825988895,1478.16652392925,1505.87461687984,1534.10209543586,1562.8586954318,1592.15433519947,1621.99911898887,1691.56708618626,1876.47559566886,2026.84386755535,2064.83686588768,3975.54521339075,4272.47081971856,4352.55788479886,4434.14617440797,4517.26382885898,4601.9395159525,4688.20244086441,4779.01738257695,4875.89976016104,4996.22497669678,5208.64512519417,5342.52962835014,5734.14425061404,6086.80863661796,6448.57361650383,6831.83983102429,7237.88519019418,7668.06355566711,8123.80925486504,8606.64186340188,9118.17127174688,9660.10305302138,10234.2441498267,10842.5088990642,0.0115664408664547,0.84550488630621,0.383685647161255,0.00758575306061197,0.202605768929822,0.111122506718196
2004,1808871,217.499462512951,2218.64169790375,581.136637202279,0,82.1025660685762,1544.05267136336,273.519096407588,0,0,898.317139348392,0,0,16.03687452064,185.278386768748,422.303600424957,430.600885397507,426.897633547453,219.541411249494,0,4.52862134089499,154.296614347497,61.9792098377915,54.1691596085049,289.454062762208,99.1265825850596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,870.676175234176,886.996918535224,903.623592639796,920.561932192131,937.817779331837,955.39708570888,973.305914536349,991.550442681692,1010.13696279716,1128.19846807524,1438.80050538164,1519.93984561263,6358.79191789416,6632.28349076779,6761.13364453546,6887.87046101819,7016.98294724755,7148.51563493027,7282.51389051576,7419.02393084327,7777.63425033188,8350.32290894668,8937.44981464229,9527.28507418442,10596.2192732673,11242.0346213871,11910.1966536573,12618.0704032814,13368.0161068772,14162.5342799843,15004.2740544383,15896.0420112706,16840.8115385852,17841.7327456142,18902.1429660072,20025.5778853768,0.0110707606487012,1,0.593444779010217,0.0223195763532668,0.291294294464212,0.180549649008256
2005,1804547,0,280.64208517394,204.373787439582,0,2,534.774559235502,239.972154556983,1.03,0,0,0,0,0,3.92279060709631,10.9213773947427,9.74009886805989,3.14860395269172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.04930725346373,1.06897641958408,1.08901428237987,1.10942775303573,1.13022387228578,1.15140981284208,1.17299288186846,1.19498052350087,1.21738032141491,1.24020000144143,1.26344743423129,1.28713063796993,453.986422814318,462.496355760308,471.165806601781,479.997765486737,488.99527861322,498.161449279971,507.499438956776,517.012468374874,526.703818637809,536.576832353107,546.634914785153,556.8815350297,1398.02178019472,1424.22756743554,1450.92457970206,1478.12202496135,1505.82928378295,1534.05591257432,1562.81164687685,1592.10640472377,1621.95029006089,1655.50220018424,1696.27453263359,1738.99241716001,1848.38980740974,1958.24749169376,2074.63448637965,2197.93885621322,2328.57173028204,2466.96867282767,2613.59113553096,2768.92799611289,2933.49718838107,3107.84742915676,3292.56004784062,3488.25092471726,0.00193303412142619,0.997111680624688,0.33508557657837,0,0,0.0136918827135423
2006,2080215,31.9051795186844,436.79581361124,195.998639095103,0,42.257342580241,977.104857241929,54.9372366802956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.10591591770425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255.639645247961,266.537502356132,271.533722856696,276.623597042273,281.808880442414,287.091361493902,292.472862157601,297.955238546864,303.54038156771,309.230217571016,315.026709016928,320.931855151719,1767.35179910848,1800.48064293855,1834.23048384123,1868.61296234844,1903.63993719279,1939.32348939771,1975.67592644428,2012.70978651618,2050.43784282415,2088.87310801156,2128.02883864258,2167.91853977443,2375.33749536323,2516.5139266482,2666.08107495307,2824.53763635244,2992.41194655412,3170.26374250887,3358.68602872007,3558.30705447618,3769.79240859856,3993.84723868901,4231.21860227674,4482.69795770393,0.00215492050470934,1,0.576454881638859,0.0145035164585536,0.0190255838418337,0
2007,2686104,333.033723103541,7741.789731018,1092.46894127178,0,592.207579276443,2625.3203279978,439.869299127203,0,0,43.8360169878604,9.59401923941287,0,0,0,0,0,0,9.16614695709228,0,0,446.448966477436,80.1231583978241,10.0084774433608,9.82064982265693,15.2781351077416,2.16549778855794,0,0,8.45607330354903,18.2083025689259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1589.04393789737,1627.2864908844,1657.78982363937,1688.86493850791,1720.52255349217,1752.77358750221,1785.62916412205,1819.10061544627,1855.36498377701,1905.42176161244,1950.95936377176,1997.53839163627,12721.2035044043,13406.1102382829,13657.4065182181,13913.4133233681,14174.2189520865,14439.9133578713,14710.5881803905,14986.336777089,15276.4204023452,15562.7754710118,15854.4982386021,16151.6893221293,18091.8853951788,19167.163253712,20306.349458324,21513.2423544062,22791.8660392056,24146.4837792199,25581.6122250449,27102.036471072,28712.8260102469,30419.3516370875,32227.303355321,34142.7093498474,0.0127108665002723,1,0.794899774760656,0.0202025670792116,0.0320079635527899,0.0331691788485767
