"brood_year","Apr2","May2","Jun2","Jul2","Aug2","Sept2","Oct2","Nov2","Dec2","Jan3","Feb3","Mar3","Apr3","May3","Jun3","Jul3","Aug3","Sept3","Oct3","Nov3","Dec3","Jan4","Feb4","Mar4","Apr4","May4","Jun4","Jul4","Aug4","Sept4","Oct4","Apr5","May5","Jun5","Jul5"
1998,0,18.2269407048453,45.4594271037623,66.1928878197016,85.4494058817679,51.7607663325681,31.0169217876574,25.0052178973679,0,0,0,24.7163368315609,468.80140882532,1089.20374942897,121.232545523394,0,0,273.690669991826,56.3094244793212,0,0,0,0,0,65.8042649857459,46.9784501867326,59.855726495447,77.2983795509238,77.2983795509238,3.32590618727766,0,3.95484352174731,0,0,0
1999,0,0,5.31928395921416,4.18345775793861,23.9008521981082,12.7638086688033,33.2449980807056,0,0,0,0,66.3676254509731,413.685735247389,125.307052487844,0,149.020894168263,15.8092379223181,324.044684195333,241.193575060326,0,0,0,3.48227976040661,19.7445717704824,56.0790484974466,190.922992152163,14.6705483953058,8.60939493029807,8.60939493029807,4.69200335330133,2.37133383960493,0,0,0,9.23846763579008
2000,0,110.173770581977,300.27477310917,187.123726453853,127.832480780884,134.687693418865,47.9458082952583,0,0,0,0,96.0746388312251,276.326978702659,99.2719251492341,100.242292132865,193.23116600311,0,168.739940729034,4.62710593631602,0,0,0,0,19.1535810298653,30.1099102839055,8.89832367902411,23.4624223724608,0,0,0,0,0,0,0,0
2001,0,40.6757778777025,53.9984016185678,0,52.7138715396879,120.324144272406,6.04184373913452,0,0,0,0,35.0896241185817,323.751759434089,112.215063582843,251.698958021892,92.6624691219313,36.1656159938023,0,0,0,0,0,0,3.44420655539143,1.8614827004533,3.50355164169791,4.46461798402725,6.41426694766063,6.41426694766063,0,0,0,0,0,0
2002,364.560320960756,656.020312994908,793.840661826174,1494.37163737613,0,251.641781799634,0,6.705269891217,0,0,0,3.37949088749727,580.509789390751,427.190074756664,469.891926786585,0,0,0,1.8834705473725,0,0,0,6.32151636623576,0,29.6584735051912,80.7612498597054,83.3265562500249,50.9098030775952,50.9098030775952,2.64443969121904,0,1.33455161311922,2.88888526674736,0,0
2003,11.8597536705668,8.21583246215241,36.248938462027,118.766379578057,28.9269325229362,7.30014465885813,2.93502635811393,0,0,0,0,0,222.404383908912,177.093479029593,0,115.193912717471,153.200242993376,39.1637457330497,0,0,1.91857615414009,0,0,0,40.2757040280471,70.5142554558743,8.79645967688691,15.9615318947317,15.9615318947317,5.16341537358669,0,0,0,0,0
2004,16.03687452064,185.278386768748,422.303600424957,430.600885397507,426.897633547453,219.541411249494,0,0,0,0,0,4.52862134089499,154.296614347497,61.9792098377915,54.1691596085049,289.454062762208,99.1265825850596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,0,3.92279060709631,10.9213773947427,9.74009886805989,3.14860395269172,0,0,2.43651321889637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.10591591770425,0,0,0,0,0,0,0,0,0,0
2007,0,0,0,0,0,9.16614695709228,0,0,0,0,0,0,446.448966477436,80.1231583978241,10.0084774433608,9.82064982265693,15.2781351077416,2.16549778855794,0,0,0,0,0,0,8.45607330354903,18.2083025689259,0,0,0,0,0,0,0,0,0
2008,22.6876125847353,0,0,0,0,2.14019731445079,0,0,0,0,0,0,229.805496115852,51.1915653691638,20.7778357194977,40.5390815070329,36.0180999424887,0,12.9731116437468,0,0,0,0,0,6.10259321203189,29.1125320683546,1.31627633526405,0,0,0,0,0,0,0,0
2009,0,0,17.5539803170816,122.180582743258,38.2253267294562,45.902416443203,27.2815580840559,6.59962107571897,0,0,0,0,560.433259776472,429.695662864325,0,755.398007363188,0,114.738893590152,11.219499164515,10.8056443055993,0,0,0,4.30606361196481,45.251585664287,78.9731828177943,21.7766260860019,0,0,2.19665434582178,0,2.79271732197491,0,0,0
2010,0,11.188428968632,72.9257957393471,0,0,209.404221194709,44.6285259185717,16.6100245151049,0,0,0,4.30733615924246,796.094572197577,408.054087893027,0,0,0,0,20.6213361064372,9.10886322427577,0,0,0,0,135.005250063475,29.2872737541405,19.3229868571209,5.8339202341822,5.8339202341822,0,0,0,2.84134014662868,0,0
2011,0,0,17.5829204574487,71.0783814498107,94.3174351172174,30.567185184408,42.4479292702586,0,0,0,0,0,1085.42243268412,147.697072840305,116.944155019444,175.335110850673,0,22.2313528287591,53.8359739519416,0,0,0,0,0,207.066629914859,28.9095235974613,25.1711010429501,2.81298668241708,2.81298668241708,0,0,3.74708843077599,0,2.48016454873711,0
2012,173.800642668346,0,48.0392912985654,0,295.397755543905,66.4311240629621,10.0848010133984,4.61814648078617,0,0,0,0,776.245034885233,119.976001485599,400.371669721148,0,0,0,7.58905821463412,0,0,0,0,0,78.6984141321682,51.4017677137616,5.12880323858765,2.94147301839899,2.94147301839899,0,0,0,0,0,0
