record_code,format_version,submission_date,reporting_agency,release_agency,coordinator,tag_code_or_release_id,tag_type,first_sequential_number,last_sequential_number,related_group_type,related_group_id,species,run,brood_year,first_release_date,last_release_date,release_location_code,hatchery_location_code,stock_location_code,release_stage,rearing_type,study_type,release_strategy,avg_weight,avg_length,study_integrity,cwt_1st_mark,cwt_1st_mark_count,cwt_2nd_mark,cwt_2nd_mark_count,non_cwt_1st_mark,non_cwt_1st_mark_count,non_cwt_2nd_mark,non_cwt_2nd_mark_count,counting_method,tag_loss_rate,tag_loss_days,tag_loss_sample_size,tag_reused,comments
"T","4.1","20060803","CDFW","CDWR","08","062763","12",,,,,"1","1","2002","20030428","20030429","6FCSUCAR BENE","6FCSAFEA FRFH","6FCSAFEA","V","H","E",,"7.56","92","N","5000","53522",,,"5000","1339",,,,"0.0244","21",,,
"T","4.1","20200113","CDFW","CDFW","08","060965","12",,,,,"1","1","2016","20170320","20170320","6FCSAFEA GRID","6FCSAFEA FRFH","6FCSAFEA","G","H","P","FR","4.53",,"N","5000","522291","0000","1174","5000","4695",,,"C",,"4","900",,"Processed at Annex Facility"
"T","4.1","20200113","CDFW","CDFW","08","068729","12",,,,,"1","1","2016","20170404","20170404","6FCSAFEA GRID","6FCSAFEA FRFH","6FCSAFEA","G","H","P","FR","5.15",,"N","5000","90775",,,"5000","611","0000","204","C",,"13","900",,"Associated Tag Code= 068002. Processed at Annex Facility."
"T","4.1","20200113","CDFW","CDFW","08","060964","12",,,,,"1","1","2016","20170320","20170320","6FCSAFEA BOYD","6FCSAFEA FRFH","6FCSAFEA","G","H","P","FR","4.53",,"N","5000","519443","0000","3527","5000","2351","0000","1176","C",,"13","900",,"Processed at Annex Facility"
"T","4.1","20200113","CDFW","CDFW","08","060731","12",,,,,"1","1","2015","20160324","20160324","6FCSAFEA BOYD","6FCSAFEA FRFH","6FCSAFEA","G","H","P","FR","4.72",,"N","5000","530093","0000","597","5000","4775","0000","1194","C",,"23","900",,
"T","4.1","20200113","CDFW","CDFW","08","060966","12",,,,,"1","1","2016","20170404","20170404","6FCSAFEA BOYD","6FCSAFEA FRFH","6FCSAFEA","G","H","P","FR","5.15",,"N","5000","529463","0000","592","5000","2369","0000","592","C",,"14","900",,"Processed at Annex Facility"
"T","4.1","20160415","CDFW","CDFW","08","060521","12",,,,,"1","1","2015","20160317","20160317","6FCSJAMR","6FCSAFEA FRFH","6FCSAFEA FRFH","G","H","E","FR","4.12","73","W","5000","57320",,,,,,,"C",,"21","300",,"Translocated from FRFH. Held in net pens. 1709 morts at release."
"T","4.1","20060803","CDFW","CDWR","08","062786","12",,,,,"1","1","2002","20030520","20030521","6FCSUCAR BENE","6FCSAFEA FRFH","6FCSAFEA","V","H","E",,"7.56","92","N","5000","105692",,,"5000","6151",,,,"0.055","81",,,
"T","4.1","20060803","CDFW","CDWR","08","062785","12",,,,,"1","1","2002","20030520","20030521","6FCSUCAR BENE","6FCSAFEA FRFH","6FCSAFEA","V","H","E",,"7.56","92","N","5000","105706",,,"5000","6152",,,,"0.055","81",,,
"T","4.1","20060803","CDFW","CDWR","08","062787","12",,,,,"1","1","2002","20030520","20030521","6FCSUCAR BENE","6FCSAFEA FRFH","6FCSAFEA","V","H","E",,"7.56","92","N","5000","105465",,,"5000","6138",,,,"0.055","81",,,
"T","4.1","20060803","CDFW","CDWR","08","062788","12",,,,,"1","1","2002","20030428","20030521","6FCSAFEA LVOK","6FCSAFEA FRFH","6FCSAFEA","V","H","E",,"7.82","94","N","5000","107854",,,"5000","3785",,,,"0.0339","77",,,
"T","4.1","20060803","CDFW","CDWR","08","062789","12",,,,,"1","1","2002","20030428","20030521","6FCSAFEA LVOK","6FCSAFEA FRFH","6FCSAFEA","V","H","E",,"7.82","94","N","5000","107181",,,"5000","3761",,,,"0.0339","77",,,
"T","4.1","20060803","CDFW","CDWR","08","062790","12",,,,,"1","1","2002","20030428","20030521","6FCSAFEA LVOK","6FCSAFEA FRFH","6FCSAFEA","V","H","E",,"7.82","94","N","5000","108680",,,"5000","3814",,,,"0.0339","77",,,
"T","4.1","20060803","CDFW","CDWR","08","062791","12",,,,,"1","1","2002","20030428","20030521","6FCSAFEA LVOK","6FCSAFEA FRFH","6FCSAFEA","V","H","E",,"7.82","94","N","5000","107891",,,"5000","3786",,,,"0.0339","77",,,
